 # element, slope, slope_errp, slope_errm, intercept, intercept_errp, intercept_errm, jitter, jitter_errp, jitter_errm
CI,0.0115437100799,0.00141451567832,0.00140750856014,-0.0836337017729,0.00838436994512,0.00886132437714,0.039391677578,0.00444145202385,0.0037262315493
CH,0.0115437100799,0.00141451567832,0.00140750856014,-0.0940324337473,0.00773659822526,0.0078589879284,0.0292718102215,0.00304148815658,0.00260922058569
OI,0.0087961825811,0.00136115732186,0.00135788815393,-0.0260410249865,0.00749772264896,0.00703768065284,0.0238007957716,0.00280231523595,0.00251763818351
NaI,0.00863879500037,0.00157559930667,0.00150808926809,-0.0614419739951,0.0080490334353,0.00892478836435,0.0272645472906,0.00294758605688,0.00261659569068
MgI,0.00993484950553,0.000816898886995,0.000864288749271,-0.0366994360813,0.00469519831759,0.00481900649841,0.0120616861516,0.00176528410348,0.00156738672143
AlI,0.013874976085,0.000961796406089,0.000998931410651,-0.0594604401737,0.00541913504465,0.00540648443137,0.015557767387,0.00193235160601,0.00173826119161
SiI,0.00632572181493,0.000638816974672,0.000564584283709,-0.0307826503457,0.00316131586372,0.0032979778244,0.0110039632753,0.0010931437012,0.00103096191008
SI,0.0097801587147,0.0015434134397,0.00154672065464,-0.0536533893504,0.00836924001613,0.00854730749115,0.0240389404599,0.00352976964739,0.00287421711192
CaI,-0.00110504385601,0.000582455020369,0.000550447426326,0.021652112491,0.00307879318252,0.00315314842906,0.0089129344789,0.00112421208169,0.000980259208514
ScI,0.00593947755146,0.000938296647026,0.000940293834719,-0.0262722877792,0.00519967862718,0.00515445145241,0.0158531374437,0.00224400535298,0.00185565507601
ScII,0.00593947755146,0.000938296647026,0.000940293834719,-0.0234937703146,0.00519781842393,0.0050832799365,0.0204602898611,0.00251015197793,0.00214641480159
TiI,0.00361190195924,0.000494295152251,0.000535888481708,-0.00235718130221,0.00322706173939,0.00315027546449,0.0119219915876,0.00136483055514,0.00122894620694
TiII,0.00361190195924,0.000494295152251,0.000535888481708,-0.00936404341889,0.0030691928593,0.00288695078927,0.0114680178317,0.00144490164254,0.00134633560642
VI,0.00131194462333,0.000642104762391,0.000650050290906,-0.0022768683856,0.00348625214598,0.00366383032357,0.00908189917505,0.00112415763464,0.00111690281104
CrI,-0.00157009900824,0.000317962673029,0.000302904072998,0.00946615643589,0.00179211617262,0.00190764606479,0.00526737826447,0.000826412261524,0.000769876607162
CrII,-0.00157009900824,0.000317962673029,0.000302904072998,0.0132839264192,0.00185261680691,0.00186322479781,1.46601410796e-06,0.000121473861719,1.48508661768e-06
MnI,0.00233171226674,0.00118063571982,0.00114016042581,-0.0312077625493,0.00625891470018,0.00585567427605,0.0205801829691,0.00200073763107,0.00175526407311
CoI,0.00740567139255,0.0010569701709,0.00100277395171,-0.0459925292129,0.00535692459587,0.00572397976985,0.0177854477348,0.00198330324035,0.00167553413334
NiI,0.00708413116597,0.000926201327156,0.000879431782485,-0.0504766838583,0.00496026409885,0.00493269301201,0.0171774311614,0.00181470474862,0.0016286594493
CuI,0.0148851445691,0.00171202239712,0.00164044862069,-0.0850317058416,0.00969552663322,0.00950539155856,0.0243759501242,0.00298698915248,0.00266152605506
ZnI,0.010171732425,0.00137703663617,0.00139283135941,-0.0699026630196,0.00767933444598,0.0077497022088,0.022359780612,0.00290542387506,0.00225699760972
SrI,-0.0251222032963,0.00295377281864,0.00304611928879,0.130977463555,0.0164212397206,0.0160252580957,0.0573745714046,0.00599441151461,0.00532827525842
YII,-0.0238302429124,0.00240617542614,0.00233526373182,0.113459768683,0.0129285986118,0.0130377008602,0.0470252172277,0.00512180659393,0.00467454181863
ZrII,-0.0218914016996,0.00230185871465,0.00230555848833,0.117943671531,0.0125111664166,0.0119768671597,0.0422276157381,0.00460821861988,0.00390204588447
BaII,-0.0316608830429,0.00177694807536,0.00167593198502,0.18973182848,0.00928888066111,0.00930000401108,0.0309460329426,0.00393679762025,0.00343174031336
LaII,-0.0227002051843,0.00207523548366,0.0021160709648,0.139677465227,0.0120871692912,0.0118680373819,0.0350333055212,0.00462941028842,0.00391610104043
CeII,-0.0219911502379,0.00181808237594,0.00178406047186,0.149722965984,0.00973183857069,0.00948304199866,0.0305483054652,0.00389553599576,0.0033765487138
PrII,-0.0103177682474,0.0023733107057,0.00252255735627,0.153434981524,0.0131023306142,0.0128065153292,0.0451099530823,0.00502036403749,0.00431873806852
NdII,-0.0198117783951,0.00202333755115,0.00196235623098,0.152717699134,0.0105477243886,0.0107773959703,0.0360042131173,0.00381070968432,0.00344666538545
SmII,-0.0076634409442,0.00157735016638,0.00171712259073,0.0668030905011,0.0094493414636,0.00889438235185,0.0226052094718,0.00318731850303,0.00280500099819
EuII,-0.00561361806679,0.00169029613058,0.00162793513133,0.0908254749344,0.00879418278226,0.00934496775505,0.030018847903,0.00331962919783,0.00316252398729
GdII,-0.00600053038434,0.0015860428841,0.00149898877634,0.05915488439,0.00793245367135,0.00885655256843,0.027864427968,0.00276019166876,0.00257429248896
DyII,-0.00733764300553,0.00231623606541,0.00219817239298,0.0804847401599,0.0122599001214,0.0121911116538,0.0331837231831,0.00429443537017,0.0036677165158
